station dans rayon,station atteintes
383,None
384,384
385,385
386,386
390,390
389,389
394,394
393,393
395,395
396,396
188,188
137,137
15,None
387,387
418,None
417,417
420,420
419,419
422,None
421,421
424,424
423,423
426,None
425,425
189,189
20,20
466,466
467,467
474,None
473,473
476,None
475,475
478,None
477,477
481,481
482,None
851,None
852,852
570,570
573,573
574,574
2243,2243
2245,2245
2494,2494
1243,1243
1244,1244
2249,2249
2501,2501
2248,2248
2503,2503
2250,2250
2505,2505
2252,2252
2509,2509
489,None
488,488
499,499
500,None
502,None
503,503
504,504
505,None
1272,1272
1270,None
497,497
496,496
501,501
111,None
508,None
509,509
1264,None
1265,1265
512,512
513,None
514,514
515,515
520,520
521,None
522,522
523,523
524,524
525,525
191,None
93,93
549,None
550,550
829,None
830,830
551,None
552,552
554,554
553,None
539,539
37,None
538,538
2282,2282
617,None
616,616
619,None
618,618
622,None
623,623
624,624
625,None
627,None
626,626
638,None
637,637
628,628
629,629
631,None
641,641
642,642
633,None
634,634
644,644
645,645
635,None
636,636
2633,2633
643,643
46,46
666,None
665,665
720,720
719,719
724,None
725,725
726,726
727,727
64,64
2558,2558
65,65
186,186
92,92
187,187
136,136
2341,2341
140,140
827,None
828,828
826,826
79,None
