destination,total_time,direct_walk_time
734,11640.0,3749.7203999999997
733,3540.0,3790.8648
739,11400.0,5978.901599999999
740,3780.0,5906.784
728,11340.0,6673.832399999999
729,3840.0,6546.886799999999
738,11520.0,4700.3328
737,3660.0,4716.8652
730,11580.0,4167.3
731,3600.0,4197.4032
736,11460.0,5059.7735999999995
735,3720.0,5001.048
435,35760.0,7010.1107999999995
434,15840.0,7020.6228
436,None,10278.078
437,19440.0,10282.6548
438,11040.0,8031.143999999999
439,4080.0,8024.01
440,15900.0,6523.3308
441,15540.0,6526.636799999999
444,8580.0,8282.362799999999
445,4140.0,8301.246
442,11280.0,6886.3823999999995
443,3840.0,6973.9632
447,11160.0,7440.4655999999995
446,3960.0,7412.964
448,3720.0,5305.868399999999
22,16080.0,7179.2796
177,None,7187.5188
172,15720.0,7854.0864
105,15660.0,7850.375999999999
456,None,11154.1176
457,16140.0,11143.7652
458,None,11058.8616
459,19620.0,11062.9524
461,None,10713.4428
460,16380.0,10708.792800000001
463,20820.0,11906.8392
462,20100.0,11911.1004
171,16500.0,10023.854399999998
23,None,10017.789599999998
451,4320.0,10801.836000000001
24,16320.0,11652.758399999999
169,20760.0,11656.6632
526,7860.0,11793.1536
527,4560.0,11801.6928
532,11160.0,9494.527199999999
531,4020.0,9508.6008
161,19200.0,10183.0176
97,15840.0,10192.0284
534,16500.0,11043.8916
35,19320.0,10914.626400000001
600,15900.0,11616.445199999998
601,None,11609.889599999999
584,11040.0,10830.8028
583,4140.0,10860.6456
602,3660.0,11755.935599999999
603,12660.0,11765.845199999998
586,2580.0,8940.5916
585,14040.0,8921.1348
597,2880.0,11135.898000000001
596,13320.0,11149.0116
582,3600.0,11851.776
581,12720.0,11866.8048
151,4260.0,11562.6648
156,3720.0,11548.670399999999
130,2820.0,10666.5876
153,13500.0,10647.7092
598,13980.0,9541.7832
599,2700.0,9452.142
609,None,11561.072400000001
610,18060.0,11569.332
612,3300.0,11424.467999999999
611,11820.0,11415.147599999998
613,None,10470.8472
614,18000.0,10474.4988
2284,None,11517.6636
2640,3180.0,10407.3192
2459,None,10061.341199999999
653,None,10500.3756
654,16980.0,10507.096800000001
656,None,10297.9368
657,17340.0,10306.324799999999
660,28500.0,10374.241199999999
659,17100.0,10378.8012
178,17220.0,10496.1996
95,15960.0,10492.5972
227,6300.0,8569.138799999999
194,6660.0,8468.9952
235,3660.0,5770.0356
278,20160.0,6174.882
261,6600.0,6164.1792
352,21420.0,5601.3984
294,12360.0,7889.9436000000005
336,6180.0,7841.562
379,5340.0,5455.182
350,21300.0,5439.308399999999
221,5700.0,6360.9768
202,4140.0,6366.4932
228,6300.0,8531.5608
193,6480.0,8514.57
303,5460.0,4138.1904
328,2940.0,4135.98
204,4260.0,5706.0336
219,5580.0,5723.4276
270,12300.0,8761.214399999999
333,6360.0,5809.2816
298,3240.0,5823.781199999999
377,5220.0,5486.6364
249,3660.0,5598.6720000000005
236,5220.0,5602.5624
304,5580.0,3638.6711999999998
327,2880.0,3688.9211999999998
688,6780.0,7842.727199999999
687,None,7790.5248
2611,14460.0,7308.2112
2612,2520.0,7320.8544
205,4440.0,5579.8548
218,5460.0,5598.6323999999995
222,5760.0,6762.2988
201,4020.0,6783.0024
276,20340.0,5777.731199999999
263,6420.0,5795.575199999999
247,5160.0,5151.5856
238,3780.0,5141.0208
198,6840.0,6923.397599999999
224,6060.0,6915.260399999999
299,6480.0,5867.998799999999
332,3240.0,5900.004
380,1800.0,5786.946
349,18360.0,5798.3988
1258,4200.0,6008.3387999999995
1259,5640.0,6015.7248
242,None,4756.2792
243,4020.0,4745.7324
359,6780.0,4409.6712
370,4740.0,4495.2047999999995
216,4500.0,5468.358
207,5400.0,5439.8808
215,4500.0,5333.3304
208,5280.0,5325.7524
355,6660.0,5207.2356
374,4860.0,5164.288799999999
226,6300.0,8298.507599999999
195,6660.0,8279.1516
251,3540.0,6171.6168
234,5400.0,6150.8808
690,1500.0,3961.8659999999995
691,13680.0,3929.9987999999994
1260,4740.0,4362.1788
1261,5100.0,4360.1688
241,None,4514.7216
244,3960.0,4530.328799999999
277,20220.0,5897.7288
262,6480.0,5921.677199999999
675,6720.0,7894.622399999999
676,6180.0,7906.7952
256,None,8172.6467999999995
229,4740.0,8168.9796
245,3840.0,4706.3664
240,3000.0,4785.6048
356,6660.0,5144.6424
373,4860.0,5153.8344
684,1620.0,4739.1132
685,4680.0,4740.4236
354,21540.0,5266.392
375,5100.0,5236.069199999999
2566,None,8116.5324
2565,4680.0,8124.619199999999
214,4560.0,5010.8952
209,5280.0,5026.1436
250,6300.0,5880.1632
297,3420.0,5900.7
252,3420.0,6429.619199999999
233,5520.0,6437.2872
271,12360.0,8593.296
353,21480.0,5345.0316
376,5160.0,5324.3232
351,21360.0,5683.423199999999
378,5280.0,5699.814
275,12180.0,5631.243600000001
264,6300.0,5603.6172
371,4800.0,5003.3004
254,2580.0,7432.8240000000005
357,18120.0,5453.6712
372,15120.0,5469.9876
272,None,8075.9256
267,12480.0,8054.208
686,18300.0,4355.8524
225,6120.0,7515.143999999999
197,6780.0,7516.7796
302,5460.0,4411.7016
329,2940.0,4366.4772
213,None,5281.2024
210,15060.0,5286.6696
200,3960.0,6673.708799999999
2564,2760.0,8607.0144
206,4440.0,5410.6212
217,5400.0,5393.5284
212,18420.0,5086.842
211,1680.0,5088.8568
295,12480.0,7396.4724
335,6180.0,7352.7492
681,4680.0,7947.8808
682,None,7956.133199999999
203,4260.0,6043.7052
220,5580.0,6052.6308
266,12540.0,7563.357599999999
273,None,7575.6708
301,3840.0,5083.719599999999
330,3000.0,5060.6952
381,1860.0,6038.9844
348,18300.0,6036.526800000001
300,6480.0,5509.6092
331,3060.0,5496.999599999999
265,6840.0,7303.322399999999
274,None,7298.415599999999
296,12540.0,6441.3744
334,6060.0,6465.2112
382,2880.0,8977.5144
269,12180.0,8957.346
1250,14280.0,8227.2696
1251,2700.0,8244.2208
52,17820.0,6433.9259999999995
53,16500.0,8126.180399999999
54,2700.0,3480.3023999999996
2616,2400.0,6758.5896
2618,4440.0,6782.9052
2623,None,6790.390799999999
2620,3420.0,6767.5055999999995
2624,None,6867.5916
2625,None,6890.1431999999995
2626,None,6857.865599999999
2627,None,6880.3056
2628,None,6901.279199999999
2631,16500.0,6941.304
2629,None,6923.064
2630,None,6941.304
1247,1980.0,7147.527599999999
2658,6000.0,6808.7447999999995
2657,6000.0,6796.423199999999
1246,None,6660.143999999999
268,12120.0,9392.1864
55,4800.0,8333.602799999999
674,None,8291.262
231,4620.0,7624.438799999999
255,None,7622.346
176,18480.0,4804.3752
56,4080.0,4773.1824
689,15600.0,8509.998
196,16200.0,7752.924
746,19440.0,11771.1408
747,13740.0,11782.946399999999
286,19560.0,10445.5368
344,6780.0,10468.3404
290,12000.0,9815.0424
340,6540.0,9862.945199999998
2554,8520.0,10408.7568
2557,12420.0,10387.062
287,19740.0,10105.107600000001
343,6720.0,10105.5216
2555,8640.0,11072.793599999999
2556,12300.0,11041.3716
748,12000.0,11014.792800000001
749,13680.0,11034.9756
758,None,10436.0652
757,17820.0,10435.945199999998
754,11880.0,11604.105599999999
753,8760.0,11598.9576
292,12180.0,8859.733199999999
338,6300.0,8885.3028
764,12240.0,9783.8892
765,8340.0,9794.3064
291,12120.0,9288.3684
339,6480.0,9402.7608
288,8460.0,10071.6312
342,6720.0,10077.3864
762,None,11286.757199999998
763,17880.0,11292.190799999998
285,None,10432.9104
345,6900.0,10425.873599999999
293,12300.0,8396.1552
337,6300.0,8415.6756
184,16200.0,11580.99
113,None,11614.4616
180,6960.0,9683.4672
68,None,9685.4316
742,13620.0,10591.357199999999
743,12120.0,10586.8956
282,7080.0,9689.6424
289,12000.0,10193.52
341,6540.0,10222.4124
772,19380.0,2402.808
781,2160.0,3595.0943999999995
780,14400.0,3622.3223999999996
779,11700.0,3351.4896
778,3480.0,3404.784
776,2400.0,6051.4068
777,14340.0,6031.8048
791,15180.0,2500.1436
790,18840.0,2484.0672
771,15600.0,3251.8956
106,19260.0,3247.4267999999997
792,15780.0,2714.1492000000003
86,15720.0,3235.6715999999997
71,18900.0,2549.22
170,15120.0,2556.1679999999997
800,15540.0,7362.1356
801,None,7364.843999999999
816,None,7891.846799999999
817,15660.0,7896.699599999999
802,None,4988.19
803,15060.0,4991.440799999999
818,28620.0,10463.4264
819,16920.0,10469.0388
804,16080.0,7520.2955999999995
805,15600.0,7524.99
820,37440.0,10795.8324
821,16560.0,10810.048799999999
281,19920.0,7851.8808
258,6660.0,7890.6276
822,None,6353.8164
823,15420.0,6362.072399999999
806,None,5655.258
807,15120.0,5659.568399999999
2614,6660.0,7628.9832
2615,19980.0,7625.8668
809,37320.0,10596.8136
810,16620.0,10606.239599999999
260,6600.0,6460.4184
279,20040.0,6399.0563999999995
812,None,7073.1828000000005
811,15480.0,7068.346799999999
75,16200.0,10126.6932
182,37500.0,10132.2144
179,15600.0,9233.9436
76,None,9231.170399999999
2606,15420.0,8255.355599999999
257,6720.0,8243.0808
181,28800.0,10506.204
78,16380.0,10523.9136
109,8880.0,10566.4272
813,37560.0,9428.6424
104,16020.0,9473.1912
662,16920.0,10502.920799999998
661,28560.0,10498.1064
369,4560.0,3904.6884
361,6900.0,3903.6276
307,2220.0,2633.7936
324,4560.0,2624.5116
306,6900.0,3030.3443999999995
325,4560.0,3057.5976
