trip_id,stop_sequence,arrival_time,timepoint,stop_id,departure_time
1001,1,08:30:00,0,1000,08:30:00
1001,2,08:33:00,0,1001,08:33:00
1001,3,08:36:00,0,1002,08:36:00
1001,4,08:38:00,0,1003,08:38:00
1001,5,08:40:00,0,1004,08:40:00
1001,6,08:43:00,0,1005,08:43:00
1001,7,08:46:00,0,1006,08:46:00
1001,8,08:48:00,0,1007,08:48:00
1001,9,08:50:00,0,1008,08:50:00
1001,10,08:53:00,0,1009,08:53:00
2001,1,08:00:00,0,2004,08:30:00
2001,2,08:02:00,0,2003,08:02:00
2001,3,08:05:00,0,2002,08:05:00
2001,4,08:08:00,0,2001,08:08:00
2001,5,08:10:00,0,2000,08:10:00
2001,6,08:11:00,0,2005,08:11:00
2001,7,08:13:00,0,2006,08:13:00
2001,8,08:15:00,0,2007,08:15:00
2001,9,08:19:00,0,2008,08:19:00
2001,10,08:22:00,0,2009,08:22:00
1002,1,09:30:00,0,1000,09:30:00
1002,2,09:33:00,0,1001,09:33:00
1002,3,09:36:00,0,1002,09:36:00
1002,4,09:38:00,0,1003,09:38:00
1002,5,09:40:00,0,1004,09:40:00
1002,6,09:43:00,0,1005,09:43:00
1002,7,09:46:00,0,1006,09:46:00
1002,8,09:48:00,0,1007,09:48:00
1002,9,09:50:00,0,1008,09:50:00
1002,10,09:53:00,0,1009,09:53:00
2002,1,09:00:00,0,2004,09:30:00
2002,2,09:02:00,0,2003,09:02:00
2002,3,09:05:00,0,2002,09:05:00
2002,4,09:08:00,0,2001,09:08:00
2002,5,09:10:00,0,2000,09:10:00
2002,6,09:11:00,0,2005,09:11:00
2002,7,09:13:00,0,2006,09:13:00
2002,8,09:15:00,0,2007,09:15:00
2002,9,09:19:00,0,2008,09:19:00
2002,10,09:22:00,0,2009,09:22:00
1003,1,10:30:00,0,1000,10:30:00
1003,2,10:33:00,0,1001,10:33:00
1003,3,10:36:00,0,1002,10:36:00
1003,4,10:38:00,0,1003,10:38:00
1003,5,10:40:00,0,1004,10:40:00
1003,6,10:43:00,0,1005,10:43:00
1003,7,10:46:00,0,1006,10:46:00
1003,8,10:48:00,0,1007,10:48:00
1003,9,10:50:00,0,1008,10:50:00
1003,10,10:53:00,0,1009,10:53:00
2003,1,10:00:00,0,2004,10:30:00
2003,2,10:02:00,0,2003,10:02:00
2003,3,10:05:00,0,2002,10:05:00
2003,4,10:08:00,0,2001,10:08:00
2003,5,10:10:00,0,2000,10:10:00
2003,6,10:11:00,0,2005,10:11:00
2003,7,10:13:00,0,2006,10:13:00
2003,8,10:15:00,0,2007,10:15:00
2003,9,10:19:00,0,2008,10:19:00
2003,10,10:22:00,0,2009,10:22:00
1004,1,11:30:00,0,1000,11:30:00
1004,2,11:33:00,0,1001,11:33:00
