centroid_id,distance,stop_id
0,4501.614,2009
0,4506.227,2008
0,4630.903,2007
0,4871.126,2006
0,5294.925,2005
0,9039.615,2004
0,8233.515,2003
0,7250.071,2002
0,6579.544,2001
0,6027.386,2000
0,4151.303,1009
0,4027.563,1008
0,4292.761,1007
0,5032.307,1006
0,5519.803,1005
0,6353.267,1004
0,7232.421,1003
0,8279.077,1002
0,10339.612,1000
0,9358.38,1001
1,4768.136,2009
1,4589.672,2008
1,4508.491,2007
1,4534.266,2006
1,4850.525,2005
1,8179.481,2004
1,7418.179,2003
1,6508.962,2002
1,5915.98,2001
1,5417.088,2000
1,3052.262,1009
1,2950.103,1008
1,3333.893,1007
1,4244.677,1006
1,4841.37,1005
1,5791.894,1004
1,6766.843,1003
1,7896.782,1002
1,10081.171,1000
1,9049.007,1001
2,5260.663,2009
2,4928.79,2008
2,4655.815,2007
2,4456.474,2006
2,4635.498,2005
2,7386.614,2004
2,6688.565,2003
2,5885.452,2002
2,5401.494,2001
2,4982.891,2000
2,1966.77,1009
2,1911.503,1008
2,2504.151,1007
2,3630.336,1006
2,4344.928,1005
2,5403.421,1004
2,6460.75,1003
2,7657.945,1002
2,9940.891,1000
2,8868.972,1001
3,5923.083,2009
3,5476.288,2008
3,5049.317,2007
3,4650.765,2006
3,4681.555,2005
3,6684.993,2004
3,6075.632,2003
3,5420.275,2002
3,5081.568,2001
3,4773.096,2000
3,942.839,1009
3,1036.079,1008
3,1973.724,1007
3,3287.899,1006
3,4097.172,1005
3,5226.543,1004
3,6337.295,1003
3,7576.144,1002
3,9923.785,1000
3,8826.193,1001
4,6705.229,2009
4,6177.001,2008
4,5637.681,2007
4,5086.054,2006
4,4981.46,2005
4,6106.149,2004
4,5617.702,2003
4,5156.462,2002
4,4993.736,2001
4,4817.11,2000
4,615.287,1009
4,980.788,1008
4,1997.315,1007
4,3303.042,1006
4,4142.958,1005
4,5282.559,1004
4,6407.042,1003
4,7656.412,1002
4,10030.482,1000
4,8922.643,1001
5,7570.081,2009
5,6984.97,2008
5,6367.115,2007
5,5707.462,2006
5,5493.795,2005
5,5687.694,2004
5,5354.691,2003
5,5125.2,2002
5,5149.886,2001
5,5108.377,2000
5,1528.748,1009
5,1821.892,1008
5,2559.65,1007
5,3671.343,1006
5,4473.281,1005
5,5564.437,1004
5,6663.927,1003
5,7893.808,1002
5,10257.118,1000
5,9153.922,1001
6,8492.407,2009
6,7867.217,2008
6,7194.838,2007
6,6461.512,2006
6,6165.831,2005
6,5466.583,2004
6,5315.611,2003
6,5330.582,2002
6,5529.386,2001
6,5608.505,2000
6,2600.849,1009
6,2854.03,1008
6,3403.41,1007
6,4303.054,1006
6,5032.418,1005
6,6040.64,1004
6,7087.631,1003
6,8274.817,1002
6,10596.0,1000
6,9510.198,1001
7,3468.49,2009
7,3464.246,2008
7,3622.919,2007
7,3940.781,2006
7,4413.679,2005
7,8453.051,2004
7,7603.485,2003
7,6556.742,2002
7,5827.759,2001
7,5242.736,2000
7,4405.888,1009
7,3944.135,1008
7,3942.03,1007
7,4431.102,1006
7,4800.471,1005
7,5528.304,1004
7,6338.375,1003
7,7336.258,1002
7,9343.584,1000
7,8381.73,1001
8,3807.927,2009
8,3572.017,2008
8,3464.978,2007
8,3515.787,2006
8,3869.263,2005
8,7526.119,2004
8,6711.985,2003
8,5726.527,2002
8,5066.597,2001
8,4527.802,2000
8,3390.431,1009
8,2835.134,1008
8,2868.169,1007
8,3511.033,1006
8,4001.816,1005
8,4872.715,1004
8,5801.397,1003
8,6901.847,1002
8,9056.673,1000
8,8034.748,1001
9,4408.976,2009
9,3998.31,2008
9,3654.515,2007
9,3414.769,2006
9,3595.93,2005
9,6655.806,2004
9,5895.541,2003
9,5006.421,2002
9,4454.989,2001
9,3998.075,2000
9,2459.083,1009
9,1728.776,1008
9,1839.044,1007
9,2736.59,1006
9,3384.292,1005
9,4403.798,1004
9,5441.168,1003
9,6627.156,1002
9,8900.167,1000
9,7831.337,1001
10,5181.379,2009
10,4656.45,2008
10,4144.124,2007
10,3664.616,2006
10,3655.011,2005
10,5867.362,2004
10,5189.698,2003
10,4450.2,2002
10,4061.075,2001
10,3733.241,2000
10,1751.581,1009
10,638.924,1008
10,1003.319,1007
10,2262.605,1006
