stop_id,stop_lat,stop_lon,stop_name,wheelchair_boarding,zone_id
2009,26.07147,236.03481,b9,,2009
2008,26.0645175,236.0351475,b8,,2008
2007,26.05689,236.035215,b7,,2007
2006,26.048565,236.03463000000002,b6,,2006
2005,26.04312,236.03634,b5,,2005
2004,26.001269999999998,236.044485,b4,,2004
2003,26.009594999999997,236.04313500000004,b3,,2003
2002,26.0200125,236.0412,b2,,2002
2001,26.027752500000002,236.04003,b1,,2001
2000,26.0330625,236.0377125,b0,1.0,2000
1009,26.029282499999997,235.98494999999997,a9,,1009
1008,26.0309025,235.99856250000002,a8,,1008
1007,26.031735000000005,236.009205,a7,,1007
1006,26.031757499999998,236.022615,a6,,1006
1005,26.0328825,236.03091750000002,a5,,1005
1004,26.033737500000004,236.0423025,a4,,1004
1003,26.034952500000003,236.05346250000002,a3,,1003
1002,26.036302499999998,236.06586,a2,,1002
1000,26.03997,236.08923750000002,a0,,1000
1001,26.0382825,236.078325,a1,,1001
