centroid_id,centroid_lon,centroid_lat,distance,stop_id,departure_time,walking_time
0,235.990164375,26.06645571428572,4027.563,1008,'08:30:00',4833.076
1,235.990164375,26.056427142857142,2950.103,1008,'08:30:00',3540.124
2,235.990164375,26.046398571428576,1911.503,1008,'08:30:00',2293.804
3,235.990164375,26.036370000000005,942.839,1009,'08:30:00',1131.407
4,235.990164375,26.026341428571435,615.287,1009,'08:30:00',738.344
4,235.990164375,26.026341428571435,980.788,1008,'08:30:00',1176.946
5,235.990164375,26.016312857142864,1528.748,1009,'08:30:00',1834.498
6,235.990164375,26.00628428571429,2600.849,1009,'08:30:00',3121.019
7,236.000593125,26.06645571428572,3464.246,2008,'08:30:00',4157.095
8,236.000593125,26.056427142857142,2835.134,1008,'08:30:00',3402.161
9,236.000593125,26.046398571428576,1728.776,1008,'08:30:00',2074.531
10,236.000593125,26.036370000000005,638.924,1008,'08:30:00',766.709
11,236.000593125,26.026341428571435,544.659,1008,'08:30:00',653.591
12,236.000593125,26.016312857142864,1629.093,1008,'08:30:00',1954.912
13,236.000593125,26.00628428571429,2734.974,1008,'08:30:00',3281.969
14,236.011021875,26.06645571428572,2423.593,2008,'08:30:00',2908.312
15,236.011021875,26.056427142857142,2421.54,2007,'08:30:00',2905.848
16,236.011021875,26.046398571428576,1634.702,1007,'08:30:00',1961.642
17,236.011021875,26.036370000000005,544.753,1007,'08:30:00',653.704
18,236.011021875,26.026341428571435,624.606,1007,'08:30:00',749.527
19,236.011021875,26.016312857142864,1718.246,1007,'08:30:00',2061.895
20,236.011021875,26.00628428571429,2825.5,1007,'08:30:00',3390.6
21,236.021450625,26.06645571428572,1387.259,2008,'08:30:00',1664.711
22,236.021450625,26.056427142857142,1378.35,2007,'08:30:00',1654.02
23,236.021450625,26.046398571428576,1340.618,2006,'08:30:00',1608.742
24,236.021450625,26.036370000000005,524.133,1006,'08:30:00',628.96
25,236.021450625,26.026341428571435,611.252,1006,'08:30:00',733.502
26,236.021450625,26.016312857142864,1715.052,1006,'08:30:00',2058.062
27,236.021450625,26.00628428571429,2201.612,2003,'08:30:00',2641.934
28,236.031879375,26.06645571428572,628.171,2009,'08:30:00',753.805
28,236.031879375,26.06645571428572,391.215,2008,'08:30:00',469.458
29,236.031879375,26.056427142857142,954.118,2008,'08:30:00',1144.942
29,236.031879375,26.056427142857142,337.711,2007,'08:30:00',405.253
29,236.031879375,26.056427142857142,913.497,2006,'08:30:00',1096.196
30,236.031879375,26.046398571428576,365.218,2006,'08:30:00',438.262
30,236.031879375,26.046398571428576,575.521,2005,'08:30:00',690.625
31,236.031879375,26.036370000000005,870.945,2005,'08:30:00',1045.134
31,236.031879375,26.036370000000005,689.295,2000,'08:30:00',827.154
31,236.031879375,26.036370000000005,398.188,1005,'08:30:00',477.826
32,236.031879375,26.026341428571435,830.678,2001,'08:30:00',996.814
32,236.031879375,26.026341428571435,946.223,2000,'08:30:00',1135.468
32,236.031879375,26.026341428571435,731.043,1005,'08:30:00',877.252
33,236.031879375,26.016312857142864,1019.077,2002,'08:30:00',1222.892
34,236.031879375,26.00628428571429,1185.005,2003,'08:30:00',1422.006
35,236.042308125,26.06645571428572,933.539,2009,'08:30:00',1120.247
35,236.042308125,26.06645571428572,747.993,2008,'08:30:00',897.592
36,236.042308125,26.056427142857142,711.656,2007,'08:30:00',853.987
37,236.042308125,26.046398571428576,805.02,2006,'08:30:00',966.024
37,236.042308125,26.046398571428576,699.063,2005,'08:30:00',838.876
38,236.042308125,26.036370000000005,957.091,2005,'08:30:00',1148.509
38,236.042308125,26.036370000000005,981.571,2001,'08:30:00',1177.885
38,236.042308125,26.036370000000005,588.085,2000,'08:30:00',705.702
38,236.042308125,26.036370000000005,291.651,1004,'08:30:00',349.981
39,236.042308125,26.026341428571435,709.891,2002,'08:30:00',851.869
39,236.042308125,26.026341428571435,276.471,2001,'08:30:00',331.765
39,236.042308125,26.026341428571435,875.239,2000,'08:30:00',1050.287
39,236.042308125,26.026341428571435,819.4,1004,'08:30:00',983.28
40,236.042308125,26.016312857142864,748.848,2003,'08:30:00',898.618
40,236.042308125,26.016312857142864,424.622,2002,'08:30:00',509.546
41,236.042308125,26.00628428571429,596.743,2004,'08:30:00',716.092
41,236.042308125,26.00628428571429,376.013,2003,'08:30:00',451.216
42,236.052736875,26.06645571428572,1773.081,2008,'08:30:00',2127.697
43,236.052736875,26.056427142857142,1754.157,2007,'08:30:00',2104.988
44,236.052736875,26.046398571428576,1270.172,1003,'08:30:00',1524.206
45,236.052736875,26.036370000000005,173.023,1003,'08:30:00',207.628
46,236.052736875,26.026341428571435,956.768,1003,'08:30:00',1148.122
47,236.052736875,26.016312857142864,1215.669,2003,'08:30:00',1458.803
48,236.052736875,26.00628428571429,995.54,2004,'08:30:00',1194.648
49,236.063165625,26.06645571428572,2811.765,2008,'08:30:00',3374.118
50,236.063165625,26.056427142857142,2245.83,1002,'08:30:00',2694.996
51,236.063165625,26.046398571428576,1150.576,1002,'08:30:00',1380.691
52,236.063165625,26.036370000000005,983.777,1003,'08:30:00',1180.532
52,236.063165625,26.036370000000005,269.775,1002,'08:30:00',323.73
53,236.063165625,26.026341428571435,1136.046,1002,'08:30:00',1363.255
54,236.063165625,26.016312857142864,2138.867,2003,'08:30:00',2566.64
55,236.063165625,26.00628428571429,1950.964,2004,'08:30:00',2341.157
56,236.07359437499997,26.06645571428572,3156.974,1001,'08:30:00',3788.369
57,236.07359437499997,26.056427142857142,2065.218,1001,'08:30:00',2478.262
58,236.07359437499997,26.046398571428576,1016.198,1001,'08:30:00',1219.438
59,236.07359437499997,26.036370000000005,774.146,1002,'08:30:00',928.975
59,236.07359437499997,26.036370000000005,518.718,1001,'08:30:00',622.462
60,236.07359437499997,26.026341428571435,1348.024,1002,'08:30:00',1617.629
61,236.07359437499997,26.016312857142864,2346.037,1002,'08:30:00',2815.244
62,236.07359437499997,26.00628428571429,2966.746,2004,'08:30:00',3560.095
63,236.084023125,26.06645571428572,2980.357,1000,'08:30:00',3576.428
64,236.084023125,26.056427142857142,1896.474,1000,'08:30:00',2275.769
65,236.084023125,26.046398571428576,882.941,1000,'08:30:00',1059.529
66,236.084023125,26.036370000000005,656.836,1000,'08:30:00',788.203
