trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
4,07:15:00,07:15:00,562,6,,
4,07:16:00,07:16:00,403,7,,
4,07:17:00,07:17:00,405,8,,
4,07:18:00,07:18:00,1267,9,,
4,07:19:00,07:19:00,413,10,,
4,07:21:00,07:21:00,163,11,,
4,07:22:00,07:22:00,529,12,,
4,07:23:00,07:23:00,526,13,,
4,07:27:00,07:27:00,451,14,,
4,07:30:00,07:30:00,444,15,,
4,07:32:00,07:32:00,438,16,,
4,07:34:00,07:34:00,447,17,,
4,07:36:00,07:36:00,442,18,,
4,07:37:00,07:37:00,448,19,,
4,07:43:00,07:43:00,124,20,,
4,07:44:00,07:44:00,845,21,,
4,07:45:00,07:45:00,690,22,,
4,07:46:00,07:46:00,684,23,,
4,07:48:00,07:48:00,209,24,,
4,07:49:00,07:49:00,208,25,,
4,07:51:00,07:51:00,275,26,,
4,07:51:00,07:51:00,1259,27,,
4,07:55:00,07:55:00,221,28,,
4,07:58:00,07:58:00,222,29,,
4,08:00:00,08:00:00,1247,30,,
5,07:08:00,07:08:00,2658,1,,
5,07:10:00,07:10:00,251,2,,
5,07:13:00,07:13:00,250,3,,
5,07:14:00,07:14:00,333,4,,
5,07:16:00,07:16:00,299,5,,
5,07:16:00,07:16:00,300,6,,
5,07:17:00,07:17:00,301,7,,
5,07:17:00,07:17:00,245,8,,
5,07:19:00,07:19:00,302,9,,
5,07:19:00,07:19:00,303,10,,
5,07:22:00,07:22:00,304,11,,
5,07:22:00,07:22:00,305,12,,
5,07:23:00,07:23:00,306,13,,
5,07:25:00,07:25:00,307,14,,
5,07:25:00,07:25:00,103,15,,
5,07:26:00,07:26:00,309,16,,
5,07:27:00,07:27:00,310,17,,
5,07:28:00,07:28:00,311,18,,
5,07:29:00,07:29:00,96,19,,
5,07:30:00,07:30:00,312,20,,
5,07:31:00,07:31:00,313,21,,
5,07:33:00,07:33:00,89,22,,
6,07:10:00,07:10:00,17,1,,
6,07:11:00,07:11:00,407,2,,
6,07:12:00,07:12:00,159,3,,
6,07:17:00,07:17:00,594,4,,
6,07:20:00,07:20:00,156,5,,
6,07:21:00,07:21:00,603,6,,
6,07:22:00,07:22:00,581,7,,
6,07:26:00,07:26:00,153,8,,
6,07:31:00,07:31:00,780,9,,
6,07:33:00,07:33:00,768,10,,
6,07:34:00,07:34:00,795,11,,
6,07:35:00,07:35:00,316,12,,
6,07:36:00,07:36:00,166,13,,
6,07:40:00,07:40:00,775,14,,
6,07:41:00,07:41:00,787,15,,
6,07:42:00,07:42:00,840,16,,
6,07:43:00,07:43:00,835,17,,
6,07:44:00,07:44:00,847,18,,
6,07:45:00,07:45:00,837,19,,
6,07:47:00,07:47:00,327,20,,
6,07:49:00,07:49:00,56,21,,
6,07:50:00,07:50:00,211,22,,
6,07:52:00,07:52:00,380,23,,
6,07:53:00,07:53:00,381,24,,
6,08:03:00,08:03:00,53,25,,
7,07:10:00,07:10:00,2243,1,,
7,07:12:00,07:12:00,852,2,,
7,07:14:00,07:14:00,2245,3,,
7,07:18:00,07:18:00,2250,4,,
7,07:20:00,07:20:00,2252,5,,
7,07:24:00,07:24:00,2503,6,,
7,07:26:00,07:26:00,2501,7,,
7,07:29:00,07:29:00,574,8,,
7,07:30:00,07:30:00,572,9,,
7,07:32:00,07:32:00,2490,10,,
7,07:34:00,07:34:00,709,11,,
7,07:40:00,07:40:00,2327,12,,
8,07:13:00,07:13:00,538,1,,
8,07:16:00,07:16:00,545,2,,
8,07:21:00,07:21:00,28,3,,
8,07:23:00,07:23:00,495,4,,
8,07:26:00,07:26:00,492,5,,
8,07:27:00,07:27:00,385,6,,
8,07:28:00,07:28:00,395,7,,
8,07:29:00,07:29:00,383,8,,
8,07:32:00,07:32:00,390,9,,
8,07:33:00,07:33:00,137,10,,
8,07:36:00,07:36:00,720,11,,
8,07:41:00,07:41:00,631,12,,
8,07:42:00,07:42:00,635,13,,
8,07:44:00,07:44:00,627,14,,
8,07:45:00,07:45:00,622,15,,
8,07:51:00,07:51:00,748,16,,
8,07:56:00,07:56:00,758,17,,
8,08:03:00,08:03:00,53,18,,
9,07:14:00,07:14:00,726,1,,
9,07:16:00,07:16:00,617,2,,
9,07:18:00,07:18:00,2282,3,,
9,07:19:00,07:19:00,619,4,,
9,07:20:00,07:20:00,849,5,,
9,07:23:00,07:23:00,612,6,,
9,07:28:00,07:28:00,2459,7,,
9,07:32:00,07:32:00,2284,8,,
9,07:40:00,07:40:00,2327,9,,
10,07:14:00,07:14:00,431,1,,
10,07:18:00,07:18:00,47,2,,
10,07:20:00,07:20:00,131,3,,
10,07:24:00,07:24:00,469,4,,
10,07:27:00,07:27:00,482,5,,
11,07:15:00,07:15:00,2657,1,,
11,07:18:00,07:18:00,334,2,,
11,07:20:00,07:20:00,335,3,,
11,07:21:00,07:21:00,336,4,,
11,07:22:00,07:22:00,337,5,,
11,07:23:00,07:23:00,338,6,,
11,07:24:00,07:24:00,339,7,,
11,07:26:00,07:26:00,340,8,,
11,07:27:00,07:27:00,341,9,,
11,07:28:00,07:28:00,342,10,,
11,07:29:00,07:29:00,343,11,,
11,07:30:00,07:30:00,344,12,,
11,07:31:00,07:31:00,345,13,,
11,07:35:00,07:35:00,180,14,,
11,07:36:00,07:36:00,282,15,,
12,07:15:00,07:15:00,169,1,,
12,07:17:00,07:17:00,463,2,,
12,07:19:00,07:19:00,452,3,,
12,07:20:00,07:20:00,464,4,,
12,07:22:00,07:22:00,454,5,,
12,07:24:00,07:24:00,458,6,,
12,07:27:00,07:27:00,436,7,,
12,07:30:00,07:30:00,656,8,,
12,07:33:00,07:33:00,95,9,,
12,07:36:00,07:36:00,660,10,,
12,07:38:00,07:38:00,653,11,,
12,07:38:00,07:38:00,661,12,,
12,07:39:00,07:39:00,818,13,,
12,07:41:00,07:41:00,109,14,,
12,07:42:00,07:42:00,809,15,,
12,07:43:00,07:43:00,181,16,,
12,07:44:00,07:44:00,820,17,,
12,07:46:00,07:46:00,182,18,,
12,07:47:00,07:47:00,813,19,,
12,07:49:00,07:49:00,816,20,,
12,07:50:00,07:50:00,804,21,,
12,07:51:00,07:51:00,801,22,,
12,07:53:00,07:53:00,812,23,,
12,07:55:00,07:55:00,822,24,,
12,08:06:00,08:06:00,53,25,,
13,07:15:00,07:15:00,496,1,,
13,07:17:00,07:17:00,505,2,,
13,07:19:00,07:19:00,524,3,,
13,07:21:00,07:21:00,514,4,,
13,07:23:00,07:23:00,522,5,,
13,07:26:00,07:26:00,466,6,,
13,07:30:00,07:30:00,482,7,,
13,07:34:00,07:34:00,476,8,,
13,07:35:00,07:35:00,420,9,,
13,07:37:00,07:37:00,424,10,,
13,07:43:00,07:43:00,140,11,,
13,08:03:00,08:03:00,53,12,,
14,07:16:00,07:16:00,2318,1,,
14,07:18:00,07:18:00,2321,2,,
14,07:23:00,07:23:00,2348,3,,
14,07:26:00,07:26:00,2313,4,,
14,07:27:00,07:27:00,2317,5,,
14,07:30:00,07:30:00,2339,6,,
14,07:32:00,07:32:00,2383,7,,
14,07:40:00,07:40:00,2327,8,,
15,07:18:00,07:18:00,405,1,,
15,07:20:00,07:20:00,1267,2,,
15,07:22:00,07:22:00,413,3,,
15,07:24:00,07:24:00,163,4,,
15,07:27:00,07:27:00,534,5,,
15,07:29:00,07:29:00,97,6,,
15,07:50:00,07:50:00,275,7,,
15,07:55:00,07:55:00,52,8,,
15,08:05:00,08:05:00,53,9,,
16,07:18:00,07:18:00,451,1,,
16,07:26:00,07:26:00,441,2,,
16,07:28:00,07:28:00,435,3,,
16,07:30:00,07:30:00,105,4,,
16,07:34:00,07:34:00,438,5,,
16,07:36:00,07:36:00,447,6,,
16,07:38:00,07:38:00,442,7,,
16,07:41:00,07:41:00,448,8,,
16,07:45:00,07:45:00,806,9,,
16,07:46:00,07:46:00,802,10,,
16,07:49:00,07:49:00,833,11,,
16,07:51:00,07:51:00,845,12,,
16,07:53:00,07:53:00,684,13,,
16,07:58:00,07:58:00,209,14,,
16,07:59:00,07:59:00,208,15,,
16,08:05:00,08:05:00,53,16,,
17,07:19:00,07:19:00,2249,1,,
17,07:21:00,07:21:00,2248,2,,
17,07:28:00,07:28:00,2509,3,,
17,07:29:00,07:29:00,2505,4,,
17,07:32:00,07:32:00,1243,5,,
17,07:40:00,07:40:00,92,6,,
17,07:42:00,07:42:00,64,7,,
17,07:55:00,07:55:00,53,8,,
18,07:20:00,07:20:00,2341,1,,
18,07:22:00,07:22:00,2486,2,,
18,07:24:00,07:24:00,2488,3,,
18,07:27:00,07:27:00,2433,4,,
18,07:28:00,07:28:00,2405,5,,
18,07:35:00,07:35:00,2649,6,,
18,07:37:00,07:37:00,2588,7,,
18,07:40:00,07:40:00,2327,8,,
19,07:21:00,07:21:00,31,1,,
19,07:24:00,07:24:00,87,2,,
19,07:26:00,07:26:00,578,3,,
19,07:28:00,07:28:00,2260,4,,
19,07:32:00,07:32:00,702,5,,
19,07:36:00,07:36:00,716,6,,
19,07:40:00,07:40:00,2327,7,,
20,07:22:00,07:22:00,580,1,,
20,07:25:00,07:25:00,183,2,,
20,07:27:00,07:27:00,578,3,,
20,07:30:00,07:30:00,576,4,,
20,07:33:00,07:33:00,701,5,,
20,07:34:00,07:34:00,716,6,,
20,07:36:00,07:36:00,704,7,,
20,07:45:00,07:45:00,613,8,,
20,07:49:00,07:49:00,612,9,,
20,08:01:00,08:01:00,53,10,,
21,07:25:00,07:25:00,731,1,,
21,07:27:00,07:27:00,735,2,,
21,07:29:00,07:29:00,740,3,,
21,07:36:00,07:36:00,161,4,,
21,07:38:00,07:38:00,35,5,,
21,07:43:00,07:43:00,414,6,,
21,07:45:00,07:45:00,1266,7,,
21,07:46:00,07:46:00,406,8,,
21,07:47:00,07:47:00,412,9,,
21,07:48:00,07:48:00,404,10,,
21,07:50:00,07:50:00,563,11,,
21,07:52:00,07:52:00,139,12,,
21,08:00:00,08:00:00,558,13,,
21,08:20:00,08:20:00,2635,14,,
22,07:27:00,07:27:00,785,1,,
22,07:29:00,07:29:00,162,2,,
22,07:32:00,07:32:00,167,3,,
22,07:34:00,07:34:00,773,4,,
22,07:36:00,07:36:00,771,5,,
22,07:38:00,07:38:00,86,6,,
22,07:38:00,07:38:00,792,7,,
22,07:39:00,07:39:00,170,8,,
22,07:40:00,07:40:00,791,9,,
22,07:42:00,07:42:00,784,10,,
22,07:44:00,07:44:00,770,11,,
22,07:47:00,07:47:00,320,12,,
22,07:48:00,07:48:00,321,13,,
22,07:50:00,07:50:00,322,14,,
22,07:52:00,07:52:00,174,15,,
22,07:53:00,07:53:00,324,16,,
22,07:54:00,07:54:00,325,17,,
22,07:55:00,07:55:00,327,18,,
22,07:57:00,07:57:00,329,19,,
22,07:58:00,07:58:00,240,20,,
22,08:00:00,08:00:00,330,21,,
22,08:01:00,08:01:00,331,22,,
22,08:02:00,08:02:00,332,23,,
22,08:06:00,08:06:00,53,24,,
23,07:28:00,07:28:00,498,1,,
23,07:29:00,07:29:00,490,2,,
23,07:31:00,07:31:00,2561,3,,
23,07:35:00,07:35:00,64,4,,
23,07:37:00,07:37:00,187,5,,
23,07:40:00,07:40:00,2558,6,,
23,07:43:00,07:43:00,746,7,,
23,07:45:00,07:45:00,286,8,,
23,07:46:00,07:46:00,764,9,,
23,07:48:00,07:48:00,227,10,,
23,07:50:00,07:50:00,53,11,,
23,07:52:00,07:52:00,265,12,,
23,08:00:00,08:00:00,1247,13,,
24,07:28:00,07:28:00,498,1,,
24,07:29:00,07:29:00,490,2,,
24,07:31:00,07:31:00,2561,3,,
24,07:35:00,07:35:00,64,4,,
24,07:37:00,07:37:00,187,5,,
24,07:40:00,07:40:00,2558,6,,
24,07:43:00,07:43:00,746,7,,
24,07:45:00,07:45:00,286,8,,
24,07:46:00,07:46:00,764,9,,
24,07:48:00,07:48:00,227,10,,
24,07:50:00,07:50:00,688,11,,
24,07:52:00,07:52:00,265,12,,
24,08:00:00,08:00:00,1247,13,,
25,07:29:00,07:29:00,156,1,,
25,07:31:00,07:31:00,584,2,,
25,07:33:00,07:33:00,532,3,,
25,07:36:00,07:36:00,728,4,,
25,07:37:00,07:37:00,739,5,,
25,07:38:00,07:38:00,736,6,,
25,07:39:00,07:39:00,738,7,,
25,07:40:00,07:40:00,730,8,,
25,07:41:00,07:41:00,734,9,,
25,07:42:00,07:42:00,779,10,,
25,07:47:00,07:47:00,124,11,,
25,07:49:00,07:49:00,845,12,,
25,07:51:00,07:51:00,54,13,,
25,07:52:00,07:52:00,690,14,,
25,07:54:00,07:54:00,684,15,,
25,07:55:00,07:55:00,211,16,,
25,07:57:00,07:57:00,380,17,,
25,07:58:00,07:58:00,381,18,,
25,08:00:00,08:00:00,1247,19,,
26,07:30:00,07:30:00,2618,1,,
26,07:30:00,07:30:00,200,2,,
26,07:31:00,07:31:00,201,3,,
26,07:32:00,07:32:00,202,4,,
26,07:33:00,07:33:00,1258,5,,
26,07:35:00,07:35:00,264,6,,
26,07:37:00,07:37:00,263,7,,
26,07:38:00,07:38:00,262,8,,
26,07:40:00,07:40:00,261,9,,
26,07:40:00,07:40:00,260,10,,
26,07:41:00,07:41:00,2614,11,,
26,07:41:00,07:41:00,258,12,,
26,07:43:00,07:43:00,257,13,,
27,07:30:00,07:30:00,786,1,,
27,07:32:00,07:32:00,774,2,,
27,07:35:00,07:35:00,89,3,,
27,07:37:00,07:37:00,315,4,,
27,07:38:00,07:38:00,72,5,,
27,07:39:00,07:39:00,769,6,,
27,07:41:00,07:41:00,785,7,,
27,07:42:00,07:42:00,162,8,,
27,07:45:00,07:45:00,167,9,,
27,07:47:00,07:47:00,788,10,,
27,07:50:00,07:50:00,840,11,,
27,07:51:00,07:51:00,835,12,,
27,07:52:00,07:52:00,847,13,,
27,07:53:00,07:53:00,837,14,,
27,07:54:00,07:54:00,306,15,,
27,07:55:00,07:55:00,307,16,,
27,07:56:00,07:56:00,103,17,,
27,07:57:00,07:57:00,309,18,,
27,08:00:00,08:00:00,310,19,,
27,08:05:00,08:05:00,54,20,,
28,07:32:00,07:32:00,46,1,,
28,07:33:00,07:33:00,643,2,,
28,07:34:00,07:34:00,641,3,,
28,07:36:00,07:36:00,629,4,,
28,07:37:00,07:37:00,644,5,,
28,07:38:00,07:38:00,650,6,,
28,07:39:00,07:39:00,621,7,,
28,07:40:00,07:40:00,640,8,,
28,07:41:00,07:41:00,647,9,,
28,07:43:00,07:43:00,756,10,,
28,07:44:00,07:44:00,751,11,,
28,07:45:00,07:45:00,754,12,,
28,07:47:00,07:47:00,748,13,,
28,07:49:00,07:49:00,743,14,,
28,07:51:00,07:51:00,764,15,,
28,07:53:00,07:53:00,227,16,,
28,07:54:00,07:54:00,53,17,,
28,07:55:00,07:55:00,265,18,,
28,08:00:00,08:00:00,1247,19,,
29,07:32:00,07:32:00,46,1,,
29,07:33:00,07:33:00,643,2,,
29,07:34:00,07:34:00,641,3,,
29,07:36:00,07:36:00,629,4,,
29,07:37:00,07:37:00,644,5,,
29,07:38:00,07:38:00,650,6,,
29,07:39:00,07:39:00,621,7,,
29,07:40:00,07:40:00,640,8,,
29,07:41:00,07:41:00,647,9,,
29,07:43:00,07:43:00,756,10,,
29,07:44:00,07:44:00,751,11,,
29,07:45:00,07:45:00,754,12,,
29,07:47:00,07:47:00,748,13,,
29,07:49:00,07:49:00,743,14,,
29,07:51:00,07:51:00,764,15,,
29,07:53:00,07:53:00,227,16,,
29,07:54:00,07:54:00,688,17,,
29,07:55:00,07:55:00,265,18,,
29,08:00:00,08:00:00,1247,19,,
30,07:32:00,07:32:00,715,1,,
30,07:33:00,07:33:00,571,2,,
30,07:34:00,07:34:00,573,3,,
30,07:37:00,07:37:00,851,4,,
30,07:39:00,07:39:00,570,5,,
30,07:44:00,07:44:00,726,6,,
30,07:46:00,07:46:00,617,7,,
30,07:48:00,07:48:00,619,8,,
30,07:49:00,07:49:00,45,9,,
30,07:50:00,07:50:00,609,10,,
30,07:51:00,07:51:00,113,11,,
30,07:53:00,07:53:00,762,12,,
30,08:02:00,08:02:00,53,13,,
31,07:33:00,07:33:00,63,1,,
31,07:36:00,07:36:00,2664,2,,
31,07:39:00,07:39:00,708,3,,
31,07:44:00,07:44:00,611,4,,
31,07:49:00,07:49:00,268,5,,
31,07:50:00,07:50:00,269,6,,
31,07:52:00,07:52:00,270,7,,
31,07:53:00,07:53:00,271,8,,
31,07:55:00,07:55:00,267,9,,
31,07:56:00,07:56:00,266,10,,
31,07:57:00,07:57:00,265,11,,
31,08:00:00,08:00:00,1247,12,,
32,07:33:00,07:33:00,63,1,,
32,07:36:00,07:36:00,712,2,,
32,07:39:00,07:39:00,708,3,,
32,07:44:00,07:44:00,611,4,,
32,07:55:00,07:55:00,53,5,,
33,07:33:00,07:33:00,583,1,,
33,07:34:00,07:34:00,151,2,,
33,07:35:00,07:35:00,603,3,,
33,07:39:00,07:39:00,595,4,,
33,07:46:00,07:46:00,155,5,,
33,07:53:00,07:53:00,2660,6,,
33,08:00:00,08:00:00,558,7,,
33,08:01:00,08:01:00,559,8,,
33,08:04:00,08:04:00,565,9,,
33,08:20:00,08:20:00,2635,10,,
34,07:34:00,07:34:00,166,1,,
34,07:35:00,07:35:00,318,2,,
34,07:36:00,07:36:00,319,3,,
34,07:37:00,07:37:00,770,4,,
34,07:37:00,07:37:00,320,5,,
34,07:39:00,07:39:00,321,6,,
34,07:39:00,07:39:00,322,7,,
34,07:40:00,07:40:00,174,8,,
34,07:43:00,07:43:00,324,9,,
34,07:43:00,07:43:00,325,10,,
34,07:44:00,07:44:00,326,11,,
34,07:47:00,07:47:00,327,12,,
34,07:47:00,07:47:00,328,13,,
34,07:48:00,07:48:00,329,14,,
34,07:49:00,07:49:00,240,15,,
34,07:49:00,07:49:00,330,16,,
34,07:50:00,07:50:00,331,17,,
34,07:52:00,07:52:00,332,18,,
34,07:52:00,07:52:00,298,19,,
34,07:56:00,07:56:00,297,20,,
34,07:57:00,07:57:00,234,21,,
34,08:00:00,08:00:00,1247,22,,
34,08:10:00,08:10:00,2657,23,,
34,08:11:00,08:11:00,334,24,,
34,08:13:00,08:13:00,335,25,,
34,08:13:00,08:13:00,336,26,,
34,08:15:00,08:15:00,337,27,,
34,08:15:00,08:15:00,338,28,,
34,08:18:00,08:18:00,339,29,,
34,08:19:00,08:19:00,340,30,,
34,08:19:00,08:19:00,341,31,,
34,08:22:00,08:22:00,342,32,,
34,08:22:00,08:22:00,343,33,,
34,08:23:00,08:23:00,344,34,,
34,08:25:00,08:25:00,345,35,,
34,08:26:00,08:26:00,180,36,,
34,08:28:00,08:28:00,282,37,,
35,07:35:00,07:35:00,534,1,,
35,07:43:00,07:43:00,399,2,,
35,07:47:00,07:47:00,2638,3,,
35,07:49:00,07:49:00,18,4,,
35,07:50:00,07:50:00,410,5,,
35,07:51:00,07:51:00,408,6,,
35,07:53:00,07:53:00,155,7,,
35,07:58:00,07:58:00,568,8,,
35,08:00:00,08:00:00,566,9,,
35,08:03:00,08:03:00,564,10,,
35,08:10:00,08:10:00,558,11,,
36,07:36:00,07:36:00,365,1,,
36,07:37:00,07:37:00,309,2,,
36,07:38:00,07:38:00,310,3,,
36,07:39:00,07:39:00,366,4,,
36,07:40:00,07:40:00,367,5,,
36,07:41:00,07:41:00,175,6,,
36,07:43:00,07:43:00,369,7,,
36,07:46:00,07:46:00,370,8,,
36,07:47:00,07:47:00,371,9,,
36,07:48:00,07:48:00,373,10,,
36,07:48:00,07:48:00,374,11,,
36,07:49:00,07:49:00,214,12,,
36,07:50:00,07:50:00,211,13,,
36,07:52:00,07:52:00,375,14,,
36,07:53:00,07:53:00,376,15,,
36,07:54:00,07:54:00,377,16,,
36,07:55:00,07:55:00,378,17,,
36,07:56:00,07:56:00,379,18,,
36,07:57:00,07:57:00,380,19,,
36,07:58:00,07:58:00,381,20,,
36,08:00:00,08:00:00,1247,21,,
37,07:37:00,07:37:00,456,1,,
37,07:39:00,07:39:00,455,2,,
37,07:41:00,07:41:00,464,3,,
37,07:43:00,07:43:00,462,4,,
37,07:44:00,07:44:00,24,5,,
37,07:49:00,07:49:00,530,6,,
37,07:50:00,07:50:00,165,7,,
37,08:20:00,08:20:00,2635,8,,
38,07:38:00,07:38:00,76,1,,
38,07:40:00,07:40:00,257,2,,
38,07:41:00,07:41:00,281,3,,
38,07:42:00,07:42:00,804,4,,
38,07:43:00,07:43:00,801,5,,
38,07:50:00,07:50:00,357,6,,
38,07:53:00,07:53:00,686,7,,
38,08:05:00,08:05:00,53,8,,
39,07:40:00,07:40:00,177,1,,
39,07:45:00,07:45:00,441,2,,
39,07:47:00,07:47:00,435,3,,
39,07:50:00,07:50:00,105,4,,
39,07:53:00,07:53:00,438,5,,
39,08:08:00,08:08:00,54,6,,
40,07:41:00,07:41:00,733,1,,
40,07:43:00,07:43:00,731,2,,
40,07:44:00,07:44:00,737,3,,
40,07:45:00,07:45:00,735,4,,
40,07:47:00,07:47:00,740,5,,
40,07:49:00,07:49:00,729,6,,
40,07:55:00,07:55:00,161,7,,
40,08:00:00,08:00:00,527,8,,
40,08:09:00,08:09:00,563,9,,
40,08:15:00,08:15:00,558,10,,
41,07:41:00,07:41:00,282,1,,
41,07:41:00,07:41:00,68,2,,
41,07:43:00,07:43:00,285,3,,
41,07:44:00,07:44:00,286,4,,
41,07:44:00,07:44:00,287,5,,
41,07:46:00,07:46:00,288,6,,
41,07:47:00,07:47:00,289,7,,
41,07:47:00,07:47:00,290,8,,
41,07:49:00,07:49:00,291,9,,
41,07:50:00,07:50:00,292,10,,
41,07:52:00,07:52:00,293,11,,
41,07:53:00,07:53:00,294,12,,
41,07:55:00,07:55:00,295,13,,
41,07:56:00,07:56:00,296,14,,
41,08:00:00,08:00:00,1247,15,,
41,08:10:00,08:10:00,2658,16,,
41,08:12:00,08:12:00,251,17,,
41,08:15:00,08:15:00,250,18,,
41,08:16:00,08:16:00,333,19,,
41,08:18:00,08:18:00,299,20,,
41,08:18:00,08:18:00,300,21,,
41,08:19:00,08:19:00,301,22,,
41,08:19:00,08:19:00,245,23,,
41,08:21:00,08:21:00,302,24,,
41,08:21:00,08:21:00,303,25,,
41,08:24:00,08:24:00,304,26,,
41,08:24:00,08:24:00,305,27,,
41,08:25:00,08:25:00,306,28,,
41,08:27:00,08:27:00,307,29,,
41,08:27:00,08:27:00,103,30,,
41,08:28:00,08:28:00,309,31,,
41,08:29:00,08:29:00,310,32,,
41,08:30:00,08:30:00,311,33,,
41,08:31:00,08:31:00,96,34,,
41,08:32:00,08:32:00,312,35,,
41,08:33:00,08:33:00,313,36,,
41,08:35:00,08:35:00,89,37,,
42,07:42:00,07:42:00,661,1,,
42,07:43:00,07:43:00,818,2,,
42,07:46:00,07:46:00,109,3,,
42,07:47:00,07:47:00,809,4,,
42,07:48:00,07:48:00,181,5,,
42,07:49:00,07:49:00,820,6,,
42,07:51:00,07:51:00,182,7,,
42,07:52:00,07:52:00,813,8,,
42,07:55:00,07:55:00,257,9,,
42,07:56:00,07:56:00,281,10,,
42,07:57:00,07:57:00,805,11,,
42,07:58:00,07:58:00,801,12,,
42,08:00:00,08:00:00,812,13,,
42,08:04:00,08:04:00,822,14,,
42,08:05:00,08:05:00,279,15,,
42,08:20:00,08:20:00,196,16,,
43,07:43:00,07:43:00,656,1,,
43,07:45:00,07:45:00,95,2,,
43,07:48:00,07:48:00,660,3,,
43,07:51:00,07:51:00,653,4,,
43,07:52:00,07:52:00,661,5,,
43,07:53:00,07:53:00,818,6,,
43,07:56:00,07:56:00,109,7,,
43,07:57:00,07:57:00,809,8,,
43,07:58:00,07:58:00,181,9,,
43,08:01:00,08:01:00,76,10,,
43,08:04:00,08:04:00,806,11,,
43,08:05:00,08:05:00,802,12,,
43,08:07:00,08:07:00,833,13,,
43,08:15:00,08:15:00,54,14,,
44,07:45:00,07:45:00,23,1,,
44,07:46:00,07:46:00,461,2,,
44,07:48:00,07:48:00,456,3,,
44,07:57:00,07:57:00,414,4,,
44,08:07:00,08:07:00,558,5,,
45,07:45:00,07:45:00,2327,1,,
45,07:46:00,07:46:00,63,2,,
45,08:05:00,08:05:00,53,3,,
46,07:45:00,07:45:00,2327,1,,
46,07:50:00,07:50:00,2328,2,,
47,07:46:00,07:46:00,175,1,,
47,07:48:00,07:48:00,1261,2,,
47,07:49:00,07:49:00,684,3,,
47,07:51:00,07:51:00,209,4,,
47,07:51:00,07:51:00,208,5,,
47,07:53:00,07:53:00,207,6,,
47,07:53:00,07:53:00,217,7,,
47,07:54:00,07:54:00,218,8,,
47,07:56:00,07:56:00,219,9,,
47,07:56:00,07:56:00,220,10,,
47,07:57:00,07:57:00,1259,11,,
47,07:58:00,07:58:00,221,12,,
47,07:59:00,07:59:00,222,13,,
47,08:00:00,08:00:00,1247,14,,
47,08:10:00,08:10:00,2616,15,,
47,08:12:00,08:12:00,2612,16,,
47,08:13:00,08:13:00,254,17,,
47,08:15:00,08:15:00,1251,18,,
47,08:16:00,08:16:00,2564,19,,
47,08:18:00,08:18:00,382,20,,
