centroid_id,centroid_lon,centroid_lat,distance,stop_id,departure_time,walking_time
0,-1.17697233705661,45.84220343171732,1647.85,2635,'08:30:00',1977.42
1,-1.17697233705661,45.833057630182566,2186.897,2635,'08:30:00',2624.276
2,-1.17697233705661,45.82391182864781,2986.02,2635,'08:30:00',3583.224
3,-1.17697233705661,45.81476602711305,2390.888,568,'08:30:00',2869.066
4,-1.17697233705661,45.8056202255783,1565.746,568,'08:30:00',1878.895
5,-1.17697233705661,45.79647442404353,1119.581,568,'08:30:00',1343.497
6,-1.17697233705661,45.78732862250879,1392.433,566,'08:30:00',1670.92
7,-1.17697233705661,45.77818282097402,1687.932,564,'08:30:00',2025.518
8,-1.17697233705661,45.76903701943926,2042.289,2661,'08:30:00',2450.747
9,-1.17697233705661,45.75989121790451,2064.323,155,'08:30:00',2477.188
10,-1.17697233705661,45.75074541636975,1814.217,155,'08:30:00',2177.06
11,-1.17697233705661,45.741599614835,1275.654,42,'08:30:00',1530.785
12,-1.17697233705661,45.73245381330023,615.684,1237,'08:30:00',738.821
12,-1.17697233705661,45.73245381330023,793.096,591,'08:30:00',951.715
12,-1.17697233705661,45.73245381330023,893.776,590,'08:30:00',1072.531
12,-1.17697233705661,45.73245381330023,266.796,154,'08:30:00',320.155
12,-1.17697233705661,45.73245381330023,265.258,42,'08:30:00',318.31
13,-1.17697233705661,45.72330801176548,501.855,589,'08:30:00',602.226
13,-1.17697233705661,45.72330801176548,534.508,588,'08:30:00',641.41
13,-1.17697233705661,45.72330801176548,829.901,1237,'08:30:00',995.881
13,-1.17697233705661,45.72330801176548,297.902,591,'08:30:00',357.482
13,-1.17697233705661,45.72330801176548,230.117,590,'08:30:00',276.14
13,-1.17697233705661,45.72330801176548,762.662,154,'08:30:00',915.194
13,-1.17697233705661,45.72330801176548,761.615,42,'08:30:00',913.938
14,-1.17697233705661,45.71416221023072,847.374,589,'08:30:00',1016.849
14,-1.17697233705661,45.71416221023072,821.882,588,'08:30:00',986.258
14,-1.17697233705661,45.71416221023072,957.28,592,'08:30:00',1148.736
14,-1.17697233705661,45.71416221023072,977.604,593,'08:30:00',1173.125
15,-1.17697233705661,45.70501640869597,749.517,597,'08:30:00',899.42
