station dans rayon,station atteintes
399,399
400,400
2637,2637
2638,2638
2643,2643
2644,2644
407,407
408,408
410,410
409,409
412,412
411,411
413,413
414,414
415,415
416,416
2608,2608
2609,2609
155,155
17,17
403,403
404,404
405,405
406,406
1267,1267
1266,1266
159,159
18,18
739,739
740,740
728,728
729,729
435,435
434,434
436,436
437,437
438,438
439,439
440,440
441,441
444,444
445,445
442,442
443,443
447,447
446,446
172,172
105,105
452,452
454,454
455,455
456,456
457,457
465,465
464,464
458,458
459,459
461,461
460,460
463,463
462,462
171,171
23,23
451,451
24,24
169,169
526,526
527,527
529,529
530,530
532,532
531,531
161,161
97,97
534,534
35,35
163,163
165,165
607,607
589,589
588,588
600,600
601,601
584,584
583,583
602,602
603,603
1237,1237
595,595
594,594
582,582
581,581
591,591
590,590
592,592
593,593
151,151
156,156
154,154
42,42
653,653
654,654
656,656
657,657
660,660
659,659
178,178
95,95
568,568
662,662
661,661
567,567
566,566
560,560
559,559
565,565
564,564
563,563
562,562
2660,2660
2661,2661
558,558
157,157
139,139
158,158
