station dans rayon,station atteintes
399,399
400,400
2637,2637
2638,2638
2643,2643
2644,2644
407,407
408,408
410,410
409,409
412,412
411,411
413,413
414,414
415,415
416,416
2608,2608
2609,2609
155,155
17,17
403,403
404,404
405,405
406,406
1267,1267
1266,1266
159,159
18,18
734,734
733,733
739,739
740,740
728,728
729,729
738,738
737,737
730,730
731,731
736,736
735,735
435,435
434,434
436,436
437,437
438,438
439,439
440,440
441,441
444,444
445,445
442,442
443,443
447,447
446,446
448,448
22,22
177,177
172,172
105,105
171,171
23,23
451,451
24,24
169,169
578,578
579,579
183,183
87,87
580,580
31,31
526,526
527,527
529,529
530,530
532,532
531,531
161,161
97,97
534,534
35,35
163,163
165,165
2260,2260
589,589
588,588
600,600
601,601
584,584
583,583
602,602
603,603
595,595
594,594
582,582
581,581
591,591
590,590
592,592
593,593
151,151
156,156
154,154
42,42
653,653
654,654
656,656
657,657
660,660
659,659
178,178
95,95
788,788
278,278
261,261
359,359
370,370
277,277
262,262
356,356
373,373
371,371
357,357
372,372
686,686
702,702
701,701
576,576
577,577
2578,2578
313,313
318,318
772,772
773,773
312,312
319,319
779,779
778,778
791,791
790,790
770,770
96,96
771,771
106,106
792,792
86,86
784,784
69,69
70,70
785,785
71,71
170,170
162,162
90,90
167,167
147,147
800,800
801,801
816,816
817,817
802,802
803,803
818,818
819,819
804,804
805,805
820,820
821,821
281,281
258,258
822,822
823,823
806,806
807,807
2614,2614
2615,2615
809,809
810,810
260,260
279,279
812,812
811,811
75,75
182,182
179,179
76,76
2606,2606
257,257
181,181
78,78
109,109
813,813
104,104
662,662
661,661
560,560
559,559
563,563
562,562
2660,2660
2661,2661
558,558
157,157
139,139
158,158
369,369
361,361
310,310
321,321
311,311
320,320
834,834
833,833
366,366
364,364
363,363
367,367
845,845
844,844
309,309
322,322
793,793
173,173
175,175
124,124
1254,1254
