service_id,date,exception_type
7,20221022,2
7,20221023,2
7,20221024,2
7,20221025,2
7,20221026,2
7,20221027,2
7,20221028,2
7,20221029,2
7,20221030,2
7,20221031,2
7,20221101,2
7,20221102,2
7,20221103,2
7,20221104,2
7,20221105,2
7,20221106,2
7,20221217,2
7,20221218,2
7,20221219,2
7,20221220,2
7,20221221,2
7,20221222,2
7,20221223,2
7,20221224,2
7,20221225,2
7,20221226,2
7,20221227,2
7,20221228,2
7,20221229,2
7,20221230,2
7,20221231,2
7,20230101,2
7,20230102,2
7,20230211,2
7,20230212,2
7,20230213,2
7,20230214,2
7,20230215,2
7,20230216,2
7,20230217,2
7,20230218,2
7,20230219,2
7,20230220,2
7,20230221,2
7,20230222,2
7,20230223,2
7,20230224,2
7,20230225,2
7,20230226,2
7,20230415,2
7,20230416,2
7,20230417,2
7,20230418,2
7,20230419,2
7,20230420,2
7,20230421,2
7,20230422,2
7,20230423,2
7,20230424,2
7,20230425,2
7,20230426,2
7,20230427,2
7,20230428,2
7,20230429,2
7,20230430,2
7,20230518,2
7,20230519,2
7,20230520,2
7,20221111,2
7,20230410,2
7,20230501,2
7,20230508,2
7,20230529,2
8,20221022,2
8,20221023,2
8,20221024,2
8,20221025,2
8,20221026,2
8,20221027,2
8,20221028,2
8,20221029,2
8,20221030,2
8,20221031,2
8,20221101,2
8,20221102,2
8,20221103,2
8,20221104,2
8,20221105,2
8,20221106,2
8,20221217,2
8,20221218,2
8,20221219,2
8,20221220,2
8,20221221,2
8,20221222,2
8,20221223,2
8,20221224,2
8,20221225,2
8,20221226,2
8,20221227,2
8,20221228,2
8,20221229,2
8,20221230,2
8,20221231,2
8,20230101,2
8,20230102,2
8,20230211,2
8,20230212,2
8,20230213,2
8,20230214,2
8,20230215,2
8,20230216,2
8,20230217,2
8,20230218,2
8,20230219,2
8,20230220,2
8,20230221,2
8,20230222,2
8,20230223,2
8,20230224,2
8,20230225,2
8,20230226,2
8,20230415,2
8,20230416,2
8,20230417,2
8,20230418,2
8,20230419,2
8,20230420,2
8,20230421,2
8,20230422,2
8,20230423,2
8,20230424,2
8,20230425,2
8,20230426,2
8,20230427,2
8,20230428,2
8,20230429,2
8,20230430,2
8,20230518,2
8,20230519,2
8,20230520,2
8,20221111,2
8,20230410,2
8,20230501,2
8,20230508,2
8,20230529,2
9,20221022,2
9,20221023,2
9,20221024,2
9,20221025,2
9,20221026,2
9,20221027,2
9,20221028,2
9,20221029,2
9,20221030,2
9,20221031,2
9,20221101,2
9,20221102,2
9,20221103,2
9,20221104,2
9,20221105,2
9,20221106,2
9,20221217,2
9,20221218,2
9,20221219,2
9,20221220,2
9,20221221,2
9,20221222,2
9,20221223,2
9,20221224,2
9,20221225,2
9,20221226,2
9,20221227,2
9,20221228,2
9,20221229,2
9,20221230,2
9,20221231,2
9,20230101,2
9,20230102,2
9,20230211,2
9,20230212,2
9,20230213,2
9,20230214,2
9,20230215,2
9,20230216,2
9,20230217,2
9,20230218,2
9,20230219,2
9,20230220,2
9,20230221,2
9,20230222,2
9,20230223,2
9,20230224,2
9,20230225,2
9,20230226,2
9,20230415,2
9,20230416,2
9,20230417,2
9,20230418,2
9,20230419,2
9,20230420,2
9,20230421,2
9,20230422,2
9,20230423,2
9,20230424,2
9,20230425,2
9,20230426,2
9,20230427,2
9,20230428,2
9,20230429,2
9,20230430,2
9,20230518,2
9,20230519,2
9,20230520,2
9,20221111,2
9,20230410,2
9,20230501,2
9,20230508,2
9,20230529,2
1,20221107,2
1,20221108,2
1,20221109,2
1,20221110,2
1,20221111,2
1,20221112,2
1,20221113,2
1,20221114,2
1,20221115,2
1,20221116,2
1,20221117,2
1,20221118,2
1,20221119,2
1,20221120,2
1,20221121,2
1,20221122,2
1,20221123,2
1,20221124,2
1,20221125,2
1,20221126,2
1,20221127,2
1,20221128,2
1,20221129,2
1,20221130,2
1,20221201,2
1,20221202,2
1,20221203,2
1,20221204,2
1,20221205,2
1,20221206,2
1,20221207,2
1,20221208,2
1,20221209,2
1,20221210,2
1,20221211,2
1,20221212,2
1,20221213,2
1,20221214,2
1,20221215,2
1,20221216,2
1,20230103,2
1,20230104,2
1,20230105,2
1,20230106,2
1,20230107,2
1,20230108,2
1,20230109,2
1,20230110,2
1,20230111,2
1,20230112,2
1,20230113,2
1,20230114,2
1,20230115,2
1,20230116,2
1,20230117,2
1,20230118,2
1,20230119,2
1,20230120,2
1,20230121,2
1,20230122,2
1,20230123,2
1,20230124,2
1,20230125,2
1,20230126,2
1,20230127,2
1,20230128,2
1,20230129,2
1,20230130,2
1,20230131,2
1,20230201,2
1,20230202,2
1,20230203,2
1,20230204,2
1,20230205,2
1,20230206,2
1,20230207,2
1,20230208,2
1,20230209,2
1,20230210,2
1,20230227,2
1,20230228,2
1,20230301,2
1,20230302,2
1,20230303,2
1,20230304,2
1,20230305,2
1,20230306,2
1,20230307,2
1,20230308,2
1,20230309,2
1,20230310,2
1,20230311,2
1,20230312,2
1,20230313,2
1,20230314,2
1,20230315,2
1,20230316,2
1,20230317,2
1,20230318,2
1,20230319,2
1,20230320,2
1,20230321,2
1,20230322,2
1,20230323,2
1,20230324,2
1,20230325,2
1,20230326,2
1,20230327,2
1,20230328,2
1,20230329,2
1,20230330,2
1,20230331,2
1,20230401,2
1,20230402,2
1,20230403,2
1,20230404,2
1,20230405,2
1,20230406,2
1,20230407,2
1,20230408,2
1,20230409,2
1,20230410,2
1,20230411,2
1,20230412,2
1,20230413,2
1,20230414,2
1,20230501,2
1,20230502,2
1,20230503,2
1,20230504,2
1,20230505,2
1,20230506,2
1,20230507,2
1,20230508,2
1,20230509,2
1,20230510,2
1,20230511,2
1,20230512,2
1,20230513,2
1,20230514,2
1,20230515,2
1,20230516,2
1,20230517,2
1,20221101,2
1,20221225,2
1,20230101,2
1,20230518,2
2,20221107,2
2,20221108,2
2,20221109,2
2,20221110,2
2,20221111,2
2,20221112,2
2,20221113,2
2,20221114,2
2,20221115,2
2,20221116,2
2,20221117,2
2,20221118,2
2,20221119,2
2,20221120,2
2,20221121,2
2,20221122,2
2,20221123,2
2,20221124,2
2,20221125,2
2,20221126,2
2,20221127,2
2,20221128,2
2,20221129,2
2,20221130,2
2,20221201,2
2,20221202,2
2,20221203,2
2,20221204,2
2,20221205,2
2,20221206,2
2,20221207,2
2,20221208,2
2,20221209,2
2,20221210,2
2,20221211,2
2,20221212,2
2,20221213,2
2,20221214,2
2,20221215,2
2,20221216,2
2,20230103,2
2,20230104,2
2,20230105,2
2,20230106,2
2,20230107,2
2,20230108,2
2,20230109,2
2,20230110,2
2,20230111,2
2,20230112,2
2,20230113,2
2,20230114,2
2,20230115,2
2,20230116,2
2,20230117,2
2,20230118,2
2,20230119,2
2,20230120,2
2,20230121,2
2,20230122,2
2,20230123,2
2,20230124,2
2,20230125,2
2,20230126,2
2,20230127,2
2,20230128,2
2,20230129,2
2,20230130,2
2,20230131,2
2,20230201,2
2,20230202,2
2,20230203,2
2,20230204,2
2,20230205,2
2,20230206,2
2,20230207,2
2,20230208,2
2,20230209,2
2,20230210,2
2,20230227,2
2,20230228,2
2,20230301,2
2,20230302,2
2,20230303,2
2,20230304,2
2,20230305,2
2,20230306,2
2,20230307,2
2,20230308,2
2,20230309,2
2,20230310,2
2,20230311,2
2,20230312,2
2,20230313,2
2,20230314,2
2,20230315,2
2,20230316,2
2,20230317,2
2,20230318,2
2,20230319,2
2,20230320,2
2,20230321,2
2,20230322,2
2,20230323,2
2,20230324,2
2,20230325,2
2,20230326,2
2,20230327,2
2,20230328,2
2,20230329,2
2,20230330,2
2,20230331,2
2,20230401,2
2,20230402,2
2,20230403,2
2,20230404,2
2,20230405,2
2,20230406,2
2,20230407,2
2,20230408,2
2,20230409,2
2,20230410,2
2,20230411,2
2,20230412,2
2,20230413,2
2,20230414,2
2,20230501,2
2,20230502,2
2,20230503,2
2,20230504,2
2,20230505,2
2,20230506,2
2,20230507,2
2,20230508,2
2,20230509,2
2,20230510,2
2,20230511,2
2,20230512,2
2,20230513,2
2,20230514,2
2,20230515,2
2,20230516,2
2,20230517,2
2,20221101,2
2,20221225,2
2,20230101,2
2,20230518,2
3,20221107,2
3,20221108,2
3,20221109,2
3,20221110,2
3,20221111,2
3,20221112,2
3,20221113,2
3,20221114,2
3,20221115,2
3,20221116,2
3,20221117,2
3,20221118,2
3,20221119,2
3,20221120,2
3,20221121,2
3,20221122,2
3,20221123,2
3,20221124,2
3,20221125,2
3,20221126,2
3,20221127,2
3,20221128,2
3,20221129,2
3,20221130,2
3,20221201,2
3,20221202,2
3,20221203,2
3,20221204,2
3,20221205,2
3,20221206,2
3,20221207,2
3,20221208,2
3,20221209,2
3,20221210,2
3,20221211,2
3,20221212,2
3,20221213,2
3,20221214,2
3,20221215,2
3,20221216,2
3,20230103,2
3,20230104,2
3,20230105,2
3,20230106,2
3,20230107,2
3,20230108,2
3,20230109,2
3,20230110,2
3,20230111,2
3,20230112,2
3,20230113,2
3,20230114,2
3,20230115,2
3,20230116,2
3,20230117,2
3,20230118,2
3,20230119,2
3,20230120,2
3,20230121,2
3,20230122,2
3,20230123,2
3,20230124,2
3,20230125,2
3,20230126,2
3,20230127,2
3,20230128,2
3,20230129,2
3,20230130,2
3,20230131,2
3,20230201,2
3,20230202,2
3,20230203,2
3,20230204,2
3,20230205,2
3,20230206,2
3,20230207,2
3,20230208,2
3,20230209,2
3,20230210,2
3,20230227,2
3,20230228,2
3,20230301,2
3,20230302,2
3,20230303,2
3,20230304,2
3,20230305,2
3,20230306,2
3,20230307,2
3,20230308,2
3,20230309,2
3,20230310,2
3,20230311,2
3,20230312,2
3,20230313,2
3,20230314,2
3,20230315,2
3,20230316,2
3,20230317,2
3,20230318,2
3,20230319,2
3,20230320,2
3,20230321,2
3,20230322,2
3,20230323,2
3,20230324,2
3,20230325,2
3,20230326,2
3,20230327,2
3,20230328,2
3,20230329,2
3,20230330,2
3,20230331,2
3,20230401,2
3,20230402,2
3,20230403,2
3,20230404,2
3,20230405,2
3,20230406,2
3,20230407,2
3,20230408,2
3,20230409,2
3,20230410,2
3,20230411,2
3,20230412,2
3,20230413,2
3,20230414,2
3,20230501,2
3,20230502,2
3,20230503,2
3,20230504,2
3,20230505,2
3,20230506,2
3,20230507,2
3,20230508,2
3,20230509,2
3,20230510,2
3,20230511,2
3,20230512,2
3,20230513,2
3,20230514,2
3,20230515,2
3,20230516,2
3,20230517,2
3,20221101,2
3,20221225,2
3,20230101,2
3,20230518,2
